epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6595,1.14161,3.61509,1.63962,0.00439,0.71429,0.07233,0.03627,1.62868,2.96174,2.20237,0.000541775,0.000541775,0.000541775
2,28.0255,1.09759,3.04897,1.67526,0.08469,0.22321,0.08039,0.03645,1.9449,3.06291,2.70373,0.00107028,0.00107028,0.00107028
3,40.013,1.15635,2.77424,1.75474,0.11861,0.23214,0.06314,0.02073,2.26063,3.16827,3.57175,0.00157128,0.00157128,0.00157128
4,51.7672,1.12604,2.53738,1.73108,0.1462,0.22321,0.09236,0.04165,1.95834,3.09071,3.44364,0.00154323,0.00154323,0.00154323
5,63.8589,1.12764,2.3818,1.75543,0.09979,0.21429,0.06033,0.0224,2.18694,3.49539,2.75532,0.00150197,0.00150197,0.00150197
6,75.7174,1.09503,2.24851,1.74281,0.08571,0.24107,0.07007,0.0223,2.02454,2.95855,2.33973,0.00146071,0.00146071,0.00146071
7,87.8742,1.06193,2.09906,1.70811,0.58157,0.20536,0.09014,0.02878,2.01556,3.88371,2.43298,0.00141945,0.00141945,0.00141945
8,98.9083,1.02229,2.01884,1.64519,0.19209,0.29464,0.12759,0.05404,1.78446,2.63208,2.26234,0.00137819,0.00137819,0.00137819
9,110.323,1.03194,1.92652,1.67013,0.1682,0.28571,0.1087,0.04319,1.99218,2.63336,2.21324,0.00133693,0.00133693,0.00133693
10,122.403,0.9869,1.86767,1.60164,0.10957,0.25893,0.07566,0.02721,2.09966,2.92749,2.36253,0.00129568,0.00129568,0.00129568
11,134.358,1.01435,1.87128,1.64197,0.10972,0.30357,0.10242,0.04649,2.04797,2.61893,2.3042,0.00125442,0.00125442,0.00125442
12,146.176,0.98339,1.84121,1.59251,0.17021,0.3125,0.14884,0.06925,1.87989,2.52501,2.14591,0.00121316,0.00121316,0.00121316
13,158.26,0.90604,1.7472,1.52277,0.21698,0.21653,0.12187,0.05746,1.88531,2.60293,2.11556,0.0011719,0.0011719,0.0011719
14,170.132,0.92994,1.74386,1.54315,0.15534,0.34842,0.14083,0.06604,1.72739,2.46106,1.95918,0.00113064,0.00113064,0.00113064
15,182.053,0.9053,1.70296,1.51234,0.19684,0.38393,0.20306,0.10091,1.7899,2.44735,2.09157,0.00108938,0.00108938,0.00108938
16,193.61,0.94679,1.69613,1.58169,0.23213,0.35414,0.22801,0.11453,1.67861,2.26587,1.90047,0.00104813,0.00104813,0.00104813
17,204.823,0.9002,1.65471,1.51119,0.16756,0.31263,0.16171,0.08781,1.72015,2.33956,1.85145,0.00100687,0.00100687,0.00100687
18,216.579,0.86453,1.62181,1.46203,0.26278,0.34821,0.21237,0.11792,1.65959,2.3182,1.83077,0.00096561,0.00096561,0.00096561
19,228.545,0.86475,1.58453,1.47089,0.61664,0.21429,0.21195,0.10471,1.72385,2.32428,1.90884,0.000924352,0.000924352,0.000924352
20,240.549,0.87263,1.57088,1.4668,0.27961,0.30357,0.19156,0.0993,1.7108,2.57279,1.93741,0.000883093,0.000883093,0.000883093
21,252.529,0.8148,1.54354,1.44314,0.41414,0.34281,0.273,0.1488,1.59626,2.2409,1.79423,0.000841835,0.000841835,0.000841835
22,264.594,0.85474,1.55342,1.46323,0.25597,0.40179,0.23796,0.13156,1.56891,2.33234,1.71914,0.000800577,0.000800577,0.000800577
23,276.471,0.81847,1.50775,1.42421,0.49231,0.26786,0.25922,0.12158,1.77774,2.22465,1.85692,0.000759318,0.000759318,0.000759318
24,288.353,0.82033,1.49906,1.40838,0.46073,0.2765,0.23795,0.12952,1.61996,2.25888,1.77834,0.00071806,0.00071806,0.00071806
25,299.558,0.78777,1.46359,1.3914,0.41483,0.27679,0.22578,0.12978,1.68631,2.26109,1.83465,0.000676802,0.000676802,0.000676802
26,311.233,0.76184,1.41565,1.36519,0.30807,0.38393,0.24498,0.13535,1.50929,2.3056,1.74399,0.000635544,0.000635544,0.000635544
27,323.131,0.77257,1.4332,1.37833,0.48467,0.30357,0.21906,0.1199,1.56607,2.39935,1.69598,0.000594286,0.000594286,0.000594286
28,335.083,0.7432,1.39187,1.37318,0.40933,0.29464,0.25122,0.14456,1.50316,2.31184,1.68779,0.000553027,0.000553027,0.000553027
29,347.192,0.71045,1.39534,1.33162,0.3626,0.30357,0.22885,0.13443,1.48166,2.36547,1.64874,0.000511769,0.000511769,0.000511769
30,359.592,0.73812,1.35612,1.3408,0.50782,0.29794,0.28095,0.15593,1.46631,2.26049,1.60096,0.000470511,0.000470511,0.000470511
31,374.164,0.73328,1.34119,1.35037,0.48008,0.26101,0.278,0.16038,1.45418,2.23592,1.59839,0.000429253,0.000429253,0.000429253
32,386.868,0.70816,1.31992,1.3268,0.33171,0.29464,0.23213,0.14453,1.48454,2.35136,1.67946,0.000387994,0.000387994,0.000387994
33,399.362,0.6919,1.2896,1.30371,0.37966,0.35144,0.28476,0.16301,1.49832,2.23873,1.61871,0.000346736,0.000346736,0.000346736
34,411.72,0.67512,1.3029,1.30084,0.52058,0.32724,0.313,0.18263,1.39875,2.18516,1.57048,0.000305478,0.000305478,0.000305478
35,424.042,0.66579,1.27125,1.2811,0.4844,0.31296,0.31287,0.1714,1.42837,2.23688,1.58442,0.00026422,0.00026422,0.00026422
36,436.289,0.65295,1.22513,1.25901,0.52028,0.29464,0.31147,0.17777,1.40459,2.21856,1.59871,0.000222961,0.000222961,0.000222961
